epochs,batch_size,decoder,c1_filters,c2_filters,c1_k,c2_k,learning_rate,tau_grad,scale_grad,threshold,threshold_step,current_decay,voltage_decay,threshold_decay,refractory_decay,dropout,test,train,train_loss,test_loss,train_time,test_time,total_time,stopped,processed_images_train,processed_images_test,error,train_inpt_otspikes,test_inpt_otspikes,train_c1_otspikes,test_c1_otspikes,train_c2_otspikes,test_c2_otspikes,train_a1_otspikes,test_a1_otspikes,train_a2_otspikes,test_a2_otspikes,train_a3_otspikes,test_a3_otspikes,train_d1_otspikes,test_d1_otspikes,train_outpt_otspikes,test_outpt_otspikes,train_accuracy_e0,test_accuracy_e0,train_accuracy_e1,test_accuracy_e1,train_accuracy_e2,test_accuracy_e2,train_accuracy_e3,test_accuracy_e3,train_accuracy_e4,test_accuracy_e4,train_accuracy_e5,test_accuracy_e5,train_accuracy_e6,test_accuracy_e6,train_accuracy_e7,test_accuracy_e7,train_accuracy_e8,test_accuracy_e8,train_accuracy_e9,test_accuracy_e9,train_accuracy_e10,test_accuracy_e10,train_accuracy_e11,test_accuracy_e11,train_accuracy_e12,test_accuracy_e12,train_accuracy_e13,test_accuracy_e13,train_accuracy_e14,test_accuracy_e14,train_accuracy_e15,test_accuracy_e15,train_accuracy_e16,test_accuracy_e16,train_accuracy_e17,test_accuracy_e17,train_accuracy_e18,test_accuracy_e18,train_accuracy_e19,test_accuracy_e19,train_accuracy_e20,test_accuracy_e20,train_accuracy_e21,test_accuracy_e21,train_accuracy_e22,test_accuracy_e22,train_accuracy_e23,test_accuracy_e23,train_accuracy_e24,test_accuracy_e24,train_accuracy_e25,test_accuracy_e25,train_accuracy_e26,test_accuracy_e26,train_accuracy_e27,test_accuracy_e27,train_accuracy_e28,test_accuracy_e28,train_accuracy_e29,test_accuracy_e29,train_accuracy_e30,test_accuracy_e30,train_accuracy_e31,test_accuracy_e31,train_accuracy_e32,test_accuracy_e32,train_accuracy_e33,test_accuracy_e33,train_accuracy_e34,test_accuracy_e34,train_accuracy_e35,test_accuracy_e35,train_accuracy_e36,test_accuracy_e36,train_accuracy_e37,test_accuracy_e37,train_accuracy_e38,test_accuracy_e38,train_accuracy_e39,test_accuracy_e39,train_ot_spikes_class0,test_ot_spikes_class0,train_ot_spikes_class1,test_ot_spikes_class1,train_ot_spikes_class2,test_ot_spikes_class2,train_ot_spikes_class3,test_ot_spikes_class3,train_ot_spikes_class4,test_ot_spikes_class4,train_ot_spikes_class5,test_ot_spikes_class5,train_ot_spikes_class6,test_ot_spikes_class6,train_ot_spikes_class7,test_ot_spikes_class7,train_ot_spikes_class8,test_ot_spikes_class8,train_ot_spikes_class9,test_ot_spikes_class9,train_ot_spikes_class10,test_ot_spikes_class10,constraint_0,parameters,trainable,trainable_zeros,trainable_ones,trainable_95,trainable_05,active_bytes.all.allocated,active_bytes.all.peak,allocated_bytes.all.allocated,allocated_bytes.all.peak,objective,eval_time,start_time,end_time,start_date,end_date,iteration,algorithm,length,trestart,model
15,5,rate,9,35,35,9,0.01080937612964085,0.12832876238303928,0.9943253593654657,0.2716274691961853,0.002996234426157231,0.7705145001138163,0.8429169186747962,0.018752218909767995,0.13424220090986017,0.20416599745154387,0.06944444444444445,0.09259259259259259,None,None,408.56695318222046,306.59635305404663,0,True,270,216,0,19448011,16137843,560290851,571341302,19831735,0,62496511,51532193,564705851,570653388,43473434,0,685189,0,3058,0,0.09259259259259259,0.06944444444444445,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,542,0,589,0,0,0,0,0,523,0,600,0,0,0,89,0,601,0,0.00046403712296982924,135689749,135689737,0,2,17,85223852,2939007895552,9668087808,2939007895552,9668087808,-0.06944444444444445,717.7066812515259,2.0665128231048584,719.7731940746307,2023-10-12 06:12:36,2023-10-12 06:24:33,0,InitSCBO,1.0,False,-1
15,6,max,6,32,45,5,0.026030980401991966,0.6082025188675972,0.9672700418353197,0.20352993157180435,0.366562859683391,0.3334818098986623,0.8094697537670882,0.020496031878178923,0.14488692117676874,0.011066790012053645,0.08796296296296297,0.08163265306122448,None,None,446.18772411346436,290.4147250652313,0,True,294,216,0,22471780,15018296,59336,0,706336,0,45174451,30373066,168002,0,1880778,0,0,0,0,0,0.08163265306122448,0.08796296296296297,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041067285382830665,107530222,107530210,0,0,8,0,2295647233024,8479956480,2295647233024,8479956480,-0.08796296296296297,739.0416393280029,1.8571736812591553,740.8988130092621,2023-10-12 06:12:36,2023-10-12 06:24:55,0,InitSCBO,1.0,False,-1
7,4,max,8,34,19,17,0.048350332305551816,0.4276576209315027,0.6064002520467161,0.21233930889209263,0.03404705404507598,0.9625888953471816,0.4577170472522063,0.030437626253459145,0.36095919173896107,0.030972985911721686,0.08796296296296297,0.0946969696969697,None,None,441.940593957901,311.95505714416504,0,True,264,216,0,18925443,15888878,820160,0,7199286,0,81103460,67851185,2382985,0,19395820,0,0,0,0,0,0.0946969696969697,0.08796296296296297,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006264501160092806,157197286,157197274,0,0,8,0,3480434758656,9655959552,3480434758656,9655959552,-0.08796296296296297,756.7320384979248,1.8563413619995117,758.5883798599243,2023-10-12 06:12:36,2023-10-12 06:25:12,0,InitSCBO,1.0,False,-1
8,1,max,12,13,16,21,0.011623198107303837,0.11050412864843481,0.8105155916387881,0.23411128444339196,0.005669712380311512,0.41214367447775513,0.6125716230327694,0.012899428867725417,0.18691459886811074,0.06430463653598588,0.09259259259259259,0.08362369337979095,None,None,496.05713844299316,292.91039419174194,0,True,287,216,0,21469193,15135011,1711946,0,0,0,123693044,88348714,3844929,0,0,0,0,0,0,0,0.08362369337979095,0.09259259259259259,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03294663573085849,58893041,58893029,0,0,8,0,3080804206080,2436740608,3080804206080,2436740608,-0.09259259259259259,790.9941759109497,1.841261625289917,792.8354375362396,2023-10-12 06:12:36,2023-10-12 06:25:47,0,InitSCBO,1.0,False,-1
2,5,max,25,24,29,11,0.004439072460271287,0.2628392082847937,0.5099996075165923,0.8716146213001037,0.005344021831425808,0.780031023964575,0.8789783919159403,0.017227838025529595,0.17462102516740738,0.010820390146894149,0.0787037037037037,0.1,None,None,492.99165987968445,352.31580543518066,0,True,270,216,0,20591989,16873478,235420,0,19,0,44949684,36635717,383454,0,57,0,0,0,0,0,0.1,0.0787037037037037,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013225058004640355,101877287,101877275,0,0,8,0,3607589415424,10396723200,3607589415424,10396723200,-0.0787037037037037,847.6476638317108,1.8570573329925537,849.5047211647034,2023-10-12 06:12:36,2023-10-12 06:26:43,0,InitSCBO,1.0,False,-1
12,5,max,35,25,19,12,0.03416707887986106,0.11451806519711182,0.6559145499601099,0.14007945516200343,0.20716240113236353,0.31401447881303934,0.6765116938337912,0.011732418399960023,0.5795441420901577,0.35959800548929793,0.07407407407407407,0.08518518518518518,None,None,526.8883974552155,334.17495942115784,0,True,270,216,0,21058785,15869081,6284115,0,0,0,82708735,62569591,15376775,0,0,0,0,0,0,0,0.08518518518518518,0.07407407407407407,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013225058004640355,128156990,128156978,0,0,8,0,5299006621696,14811799040,5299006621696,14811799040,-0.07407407407407407,863.5902152061462,2.0660195350646973,865.6562347412109,2023-10-12 06:12:36,2023-10-12 06:26:59,0,InitSCBO,1.0,False,-1
13,1,rate,22,25,7,6,0.0017468468209739958,0.18964510134680887,0.6360870880377233,0.21706814265255264,0.0021485123979998384,0.925440702583904,0.8476568074559675,0.011585637119648369,0.21660131577528086,0.7396866768396824,0.0787037037037037,0.0627177700348432,None,None,537.5726702213287,334.5614173412323,0,True,287,216,0,21815888,15362130,306086461,277662063,21445720,0,72387163,51491314,371904055,501549635,32366997,0,70958,0,3173,0,0.0627177700348432,0.0787037037037037,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33,0,0,0,382,0,261,0,7,0,300,0,124,0,574,0,559,0,455,0,478,0,0.003944315545243604,178254863,178254851,0,0,19,178254186,7650969867264,6875334144,7650969867264,6875334144,-0.0787037037037037,875.0242614746094,1.856581211090088,876.8808426856995,2023-10-12 06:12:36,2023-10-12 06:27:11,0,InitSCBO,1.0,False,-1
5,5,rate,13,32,41,35,0.015824095671347432,0.208296890582307,0.5003193184921296,0.40801139348590876,0.003249006331941658,0.9782924671715308,0.8800494669094712,0.09960051388977284,0.6919873558452412,0.08443585770808433,0.08333333333333333,0.08518518518518518,None,None,574.9071028232574,319.85201048851013,0,True,270,216,0,19055767,16845595,43698293,36880981,0,0,64686157,55402895,83987629,72919177,0,0,0,0,0,0,0.08518518518518518,0.08333333333333333,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013225058004640355,50120611,50120599,0,2,19,50120539,1653847177728,4817234432,1653847177728,4817234432,-0.08333333333333333,896.6392965316772,2.0655720233917236,898.704868555069,2023-10-12 06:12:36,2023-10-12 06:27:32,0,InitSCBO,1.0,False,-1
4,2,rate,34,3,22,26,0.04760911093622522,0.5845025018630671,0.5018047449940723,0.2768440104336792,0.18896487566273792,0.949317187982778,0.8635236558244185,0.09670925070714115,0.13460530030876355,0.3438931223300606,0.0787037037037037,0.08163265306122448,None,None,586.813559293747,352.5572831630707,0,True,294,216,0,22235992,16653616,187671716,139605128,0,0,46343892,34746685,320735894,271910608,0,0,0,0,0,0,0.08163265306122448,0.0787037037037037,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041067285382830665,10689065,10689053,0,1,19,10689001,3342237772288,3782963200,3342237772288,3782963200,-0.0787037037037037,941.1031248569489,1.8565075397491455,942.959632396698,2023-10-12 06:12:36,2023-10-12 06:28:17,0,InitSCBO,1.0,False,-1
10,3,rate,14,7,14,47,0.0012238622830131956,0.2730804497260847,0.6620330104481803,0.22188246512790294,0.0014840831769125237,0.9542007312308084,0.6587650018052442,0.061113656975257835,0.914789799251652,0.02285334677949798,0.1111111111111111,0.10204081632653061,None,None,648.072005033493,316.6580722332001,0,True,294,216,0,22067176,15910239,702057248,512259917,0,0,112793220,81897899,1144081487,841140363,0,0,0,0,0,0,0.10204081632653061,0.1111111111111111,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041067285382830665,17789251,17789239,0,0,17,17789181,1869158381056,2905277952,1869158381056,2905277952,-0.1111111111111111,966.5095207691193,1.8414783477783203,968.3509991168976,2023-10-12 06:12:36,2023-10-12 06:28:42,0,InitSCBO,1.0,False,-1
